User_Id:0	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:1	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:2	 Questions Asked:16	 Answers Posted:38	 	Votes:404
User_Id:3	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:4	 Questions Asked:4	 Answers Posted:358	 	Votes:2680
User_Id:5	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:6	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:7	 Questions Asked:0	 Answers Posted:128	 	Votes:288
User_Id:8	 Questions Asked:2	 Answers Posted:2	 	Votes:1
User_Id:9	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:10	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:11	 Questions Asked:0	 Answers Posted:0	 	Votes:9
User_Id:12	 Questions Asked:41	 Answers Posted:401	 	Votes:1912
User_Id:13	 Questions Asked:10	 Answers Posted:40	 	Votes:78
User_Id:14	 Questions Asked:5	 Answers Posted:9	 	Votes:19
User_Id:15	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:16	 Questions Asked:1	 Answers Posted:2	 	Votes:2
User_Id:17	 Questions Asked:30	 Answers Posted:7	 	Votes:51
User_Id:18	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:19	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:20	 Questions Asked:13	 Answers Posted:33	 	Votes:229
User_Id:21	 Questions Asked:1	 Answers Posted:0	 	Votes:2
User_Id:22	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:23	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:24	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:25	 Questions Asked:1	 Answers Posted:1	 	Votes:1
User_Id:26	 Questions Asked:67	 Answers Posted:108	 	Votes:896
User_Id:27	 Questions Asked:32	 Answers Posted:40	 	Votes:23
User_Id:28	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:29	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:30	 Questions Asked:37	 Answers Posted:21	 	Votes:81
User_Id:31	 Questions Asked:1	 Answers Posted:4	 	Votes:39
User_Id:32	 Questions Asked:0	 Answers Posted:1	 	Votes:1
User_Id:34	 Questions Asked:1	 Answers Posted:1	 	Votes:2
User_Id:35	 Questions Asked:15	 Answers Posted:12	 	Votes:38
User_Id:36	 Questions Asked:3	 Answers Posted:2	 	Votes:13
User_Id:37	 Questions Asked:2	 Answers Posted:0	 	Votes:2
